=== Run information ===

Scheme:weka.classifiers.functions.Logistic -R 1.0E-8 -M -1
Relation:     classes
Instances:    672
Attributes:   113
[list of attributes omitted]
Test mode:10-fold cross-validation

=== Classifier model (full training set) ===

Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                             Class
Variable                         0
==================================
var1                       -0.6136
var2                        0.4263
var3                        1.9389
var4                        1.0805
var5                       -0.1653
var6                       -1.9885
var7                        0.4976
var8                        -1.355
var9                       -3.5528
var10                       1.5376
var11                      -0.3322
var12                       2.6096
var13                      -0.9792
var14                      -0.4978
var15                      -0.2322
var16                       1.3378
var17                       0.2771
var18                      -0.5303
var19                      -3.0465
var20                      -0.4325
var21                        2.919
var22                       1.8676
var23                      -0.2513
var24                       -5.339
var25                       3.4902
var26                       5.3091
var27                      -1.0606
var28                      -2.6771
var29                      -1.2475
var30                       0.9406
var31                       0.4928
var32                       0.2985
var33                       2.7084
var34                       0.8608
var35                       2.6606
var36                       1.4653
var37                       -6.961
var38                      -1.3091
var39                      -2.9503
var40                      11.8213
var41                       0.4228
var42                      -8.1382
var43                      -2.7845
var44                       0.3064
var45                       1.0726
var46                       1.5642
var47                       2.0854
var48                      -2.1168
var49                       3.9609
var50                      -4.2195
var51                      -5.0782
var52                       0.2424
var53                      10.9338
var54                       -1.196
var55                       7.0417
var56                     -22.4941
var57                      -3.1602
var58                      15.6043
var59                       4.2291
var60                      -2.4216
var61                      -1.9996
var62                       1.6984
var63                      -0.8236
var64                      -0.6671
var65                      -3.0899
var66                      -0.3993
var67                       5.8544
var68                      -8.8891
var69                       5.9345
var70                      -8.3607
var71                       7.4768
var72                      -33.293
var73                     -13.7747
var74                      14.6447
var75                      12.1188
var76                       1.3024
var77                        7.164
var78                      -1.1514
var79                      -3.4767
var80                      -1.0518
var81                      -27.241
var82                        2.964
var83                       5.1347
var84                      19.3003
var85                      11.1019
var86                     -14.2471
var87                      -5.5558
var88                     -12.6677
var89                       5.9588
var90                      10.8079
var91                      10.1956
var92                     -19.4369
var93                     -12.7582
var94                      -9.2014
var95                      -6.0952
var96                       4.7513
var97                     -14.9372
var98                      -0.2221
var99                      40.2348
var100                    -20.7074
var101                    -35.4572
var102                     -6.9852
var103                      3.5024
var104                     68.2466
var105                      28.957
var106                    -36.2984
var107                      8.0307
var108                    -73.8257
var109                      8.6472
var110                     50.1123
var111                     15.9884
var112                    -29.5794
Intercept                  12.4066


Odds Ratios...
                             Class
Variable                         0
==================================
var1                        0.5414
var2                        1.5315
var3                        6.9508
var4                        2.9461
var5                        0.8477
var6                        0.1369
var7                        1.6447
var8                        0.2579
var9                        0.0286
var10                       4.6534
var11                       0.7174
var12                      13.5938
var13                       0.3756
var14                       0.6079
var15                       0.7928
var16                       3.8106
var17                       1.3193
var18                       0.5884
var19                       0.0475
var20                       0.6489
var21                      18.5236
var22                       6.4725
var23                       0.7778
var24                       0.0048
var25                       32.792
var26                     202.1738
var27                       0.3463
var28                       0.0688
var29                       0.2872
var30                       2.5615
var31                        1.637
var32                       1.3478
var33                      15.0059
var34                        2.365
var35                      14.3045
var36                       4.3289
var37                       0.0009
var38                         0.27
var39                       0.0523
var40                  136120.2866
var41                       1.5262
var42                       0.0003
var43                       0.0618
var44                       1.3585
var45                       2.9229
var46                       4.7787
var47                       8.0482
var48                       0.1204
var49                      52.5071
var50                       0.0147
var51                       0.0062
var52                       1.2743
var53                   56040.3317
var54                       0.3024
var55                    1143.2897
var56                            0
var57                       0.0424
var58                 5981950.0681
var59                       68.653
var60                       0.0888
var61                       0.1354
var62                       5.4652
var63                       0.4388
var64                       0.5132
var65                       0.0455
var66                       0.6708
var67                     348.7705
var68                       0.0001
var69                     377.8642
var70                       0.0002
var71                    1766.6568
var72                            0
var73                            0
var74                 2291463.9173
var75                  183291.1254
var76                       3.6783
var77                    1292.1053
var78                       0.3162
var79                       0.0309
var80                       0.3493
var81                            0
var82                      19.3761
var83                     169.8212
var84               240998144.1229
var85                   66298.3026
var86                            0
var87                       0.0039
var88                            0
var89                     387.1585
var90                   49410.7804
var91                   26784.0717
var92                            0
var93                            0
var94                       0.0001
var95                       0.0023
var96                     115.7339
var97                            0
var98                       0.8009
var99        2.9768906552725926E17
var100                           0
var101                           0
var102                      0.0009
var103                     33.1964
var104        4.356348480720446E29
var105        3.766044759361342E12
var106                           0
var107                    3073.931
var108                           0
var109                   5694.4029
var110        5.800668273890763E21
var111                8783188.1038
var112                           0


Time taken to build model: 1.01 seconds

=== Predictions on test data ===

inst#,    actual, predicted, error, probability distribution
     1        2:1        2:1          0.486 *0.514
     2        2:1        1:0      +  *0.986  0.014
     3        2:1        2:1          0.102 *0.898
     4        2:1        1:0      +  *0.574  0.426
     5        2:1        2:1          0.045 *0.955
     6        2:1        2:1          0.001 *0.999
     7        2:1        2:1          0.008 *0.992
     8        2:1        1:0      +  *0.977  0.023
     9        2:1        2:1          0.175 *0.825
    10        2:1        2:1          0.026 *0.974
    11        2:1        2:1          0     *1    
    12        2:1        2:1          0.067 *0.933
    13        2:1        2:1          0.056 *0.944
    14        2:1        2:1          0.002 *0.998
    15        2:1        2:1          0     *1    
    16        2:1        1:0      +  *0.603  0.397
    17        2:1        2:1          0.001 *0.999
    18        2:1        2:1          0.222 *0.778
    19        2:1        2:1          0     *1    
    20        2:1        2:1          0.002 *0.998
    21        2:1        1:0      +  *0.754  0.246
    22        2:1        2:1          0.022 *0.978
    23        2:1        2:1          0.027 *0.973
    24        2:1        2:1          0.337 *0.663
    25        2:1        2:1          0.003 *0.997
    26        2:1        2:1          0.104 *0.896
    27        2:1        2:1          0     *1    
    28        2:1        2:1          0     *1    
    29        2:1        2:1          0.003 *0.997
    30        2:1        2:1          0.013 *0.987
    31        2:1        2:1          0.003 *0.997
    32        2:1        2:1          0     *1    
    33        2:1        1:0      +  *0.984  0.016
    34        2:1        2:1          0.001 *0.999
    35        1:0        1:0         *1      0    
    36        1:0        1:0         *0.996  0.004
    37        1:0        1:0         *0.995  0.005
    38        1:0        1:0         *0.999  0.001
    39        1:0        1:0         *0.995  0.005
    40        1:0        2:1      +   0.036 *0.964
    41        1:0        1:0         *0.998  0.002
    42        1:0        2:1      +   0.069 *0.931
    43        1:0        1:0         *0.943  0.057
    44        1:0        1:0         *0.997  0.003
    45        1:0        1:0         *1      0    
    46        1:0        1:0         *0.997  0.003
    47        1:0        1:0         *1      0    
    48        1:0        1:0         *0.775  0.225
    49        1:0        1:0         *0.996  0.004
    50        1:0        1:0         *1      0    
    51        1:0        2:1      +   0.061 *0.939
    52        1:0        1:0         *0.999  0.001
    53        1:0        2:1      +   0.03  *0.97 
    54        1:0        1:0         *0.861  0.139
    55        1:0        1:0         *1      0    
    56        1:0        1:0         *0.944  0.056
    57        1:0        1:0         *1      0    
    58        1:0        2:1      +   0.004 *0.996
    59        1:0        2:1      +   0.457 *0.543
    60        1:0        1:0         *1      0    
    61        1:0        1:0         *0.655  0.345
    62        1:0        2:1      +   0.283 *0.717
    63        1:0        1:0         *1      0    
    64        1:0        1:0         *0.983  0.017
    65        1:0        1:0         *0.9    0.1  
    66        1:0        2:1      +   0.227 *0.773
    67        1:0        1:0         *0.862  0.138
    68        1:0        1:0         *0.992  0.008
     1        2:1        2:1          0     *1    
     2        2:1        2:1          0     *1    
     3        2:1        2:1          0.009 *0.991
     4        2:1        2:1          0     *1    
     5        2:1        2:1          0     *1    
     6        2:1        2:1          0     *1    
     7        2:1        2:1          0     *1    
     8        2:1        2:1          0.343 *0.657
     9        2:1        2:1          0     *1    
    10        2:1        1:0      +  *0.52   0.48 
    11        2:1        2:1          0     *1    
    12        2:1        2:1          0.059 *0.941
    13        2:1        2:1          0     *1    
    14        2:1        1:0      +  *0.899  0.101
    15        2:1        2:1          0     *1    
    16        2:1        2:1          0     *1    
    17        2:1        2:1          0     *1    
    18        2:1        2:1          0     *1    
    19        2:1        2:1          0.003 *0.997
    20        2:1        2:1          0.001 *0.999
    21        2:1        2:1          0     *1    
    22        2:1        2:1          0.005 *0.995
    23        2:1        2:1          0.009 *0.991
    24        2:1        2:1          0     *1    
    25        2:1        2:1          0.007 *0.993
    26        2:1        1:0      +  *1      0    
    27        2:1        2:1          0.385 *0.615
    28        2:1        2:1          0.008 *0.992
    29        2:1        1:0      +  *0.511  0.489
    30        2:1        1:0      +  *0.996  0.004
    31        2:1        2:1          0     *1    
    32        2:1        1:0      +  *0.972  0.028
    33        2:1        2:1          0     *1    
    34        2:1        2:1          0.001 *0.999
    35        1:0        2:1      +   0.465 *0.535
    36        1:0        1:0         *0.991  0.009
    37        1:0        2:1      +   0.201 *0.799
    38        1:0        2:1      +   0     *1    
    39        1:0        2:1      +   0     *1    
    40        1:0        1:0         *0.561  0.439
    41        1:0        1:0         *1      0    
    42        1:0        1:0         *0.924  0.076
    43        1:0        1:0         *0.689  0.311
    44        1:0        1:0         *0.99   0.01 
    45        1:0        1:0         *0.999  0.001
    46        1:0        1:0         *0.98   0.02 
    47        1:0        1:0         *1      0    
    48        1:0        1:0         *0.992  0.008
    49        1:0        2:1      +   0.092 *0.908
    50        1:0        1:0         *0.952  0.048
    51        1:0        2:1      +   0.399 *0.601
    52        1:0        1:0         *0.963  0.037
    53        1:0        1:0         *0.937  0.063
    54        1:0        1:0         *0.96   0.04 
    55        1:0        1:0         *0.967  0.033
    56        1:0        1:0         *0.989  0.011
    57        1:0        1:0         *0.994  0.006
    58        1:0        1:0         *0.995  0.005
    59        1:0        1:0         *1      0    
    60        1:0        1:0         *1      0    
    61        1:0        1:0         *0.984  0.016
    62        1:0        1:0         *1      0    
    63        1:0        1:0         *0.997  0.003
    64        1:0        1:0         *0.705  0.295
    65        1:0        1:0         *0.991  0.009
    66        1:0        1:0         *0.989  0.011
    67        1:0        1:0         *0.999  0.001
    68        1:0        1:0         *0.941  0.059
     1        2:1        1:0      +  *0.557  0.443
     2        2:1        2:1          0     *1    
     3        2:1        2:1          0.007 *0.993
     4        2:1        2:1          0     *1    
     5        2:1        2:1          0.016 *0.984
     6        2:1        2:1          0.263 *0.737
     7        2:1        2:1          0     *1    
     8        2:1        2:1          0.072 *0.928
     9        2:1        2:1          0     *1    
    10        2:1        2:1          0.007 *0.993
    11        2:1        2:1          0.001 *0.999
    12        2:1        1:0      +  *0.995  0.005
    13        2:1        2:1          0.009 *0.991
    14        2:1        2:1          0.007 *0.993
    15        2:1        1:0      +  *0.678  0.322
    16        2:1        2:1          0.008 *0.992
    17        2:1        2:1          0     *1    
    18        2:1        2:1          0     *1    
    19        2:1        2:1          0     *1    
    20        2:1        1:0      +  *0.981  0.019
    21        2:1        2:1          0     *1    
    22        2:1        2:1          0     *1    
    23        2:1        2:1          0.01  *0.99 
    24        2:1        2:1          0.001 *0.999
    25        2:1        2:1          0.04  *0.96 
    26        2:1        2:1          0.003 *0.997
    27        2:1        2:1          0.003 *0.997
    28        2:1        1:0      +  *0.895  0.105
    29        2:1        2:1          0.423 *0.577
    30        2:1        2:1          0     *1    
    31        2:1        2:1          0.016 *0.984
    32        2:1        1:0      +  *0.887  0.113
    33        2:1        1:0      +  *0.653  0.347
    34        2:1        1:0      +  *0.858  0.142
    35        1:0        1:0         *0.615  0.385
    36        1:0        1:0         *0.999  0.001
    37        1:0        1:0         *0.999  0.001
    38        1:0        1:0         *0.999  0.001
    39        1:0        1:0         *0.767  0.233
    40        1:0        1:0         *0.797  0.203
    41        1:0        1:0         *0.994  0.006
    42        1:0        1:0         *0.998  0.002
    43        1:0        2:1      +   0.163 *0.837
    44        1:0        2:1      +   0.032 *0.968
    45        1:0        1:0         *0.995  0.005
    46        1:0        1:0         *1      0    
    47        1:0        1:0         *0.952  0.048
    48        1:0        1:0         *0.996  0.004
    49        1:0        1:0         *0.991  0.009
    50        1:0        1:0         *0.999  0.001
    51        1:0        1:0         *1      0    
    52        1:0        1:0         *0.969  0.031
    53        1:0        1:0         *0.942  0.058
    54        1:0        1:0         *0.96   0.04 
    55        1:0        1:0         *1      0    
    56        1:0        1:0         *0.998  0.002
    57        1:0        1:0         *0.974  0.026
    58        1:0        1:0         *0.729  0.271
    59        1:0        1:0         *0.935  0.065
    60        1:0        2:1      +   0.48  *0.52 
    61        1:0        1:0         *0.995  0.005
    62        1:0        1:0         *0.614  0.386
    63        1:0        1:0         *0.998  0.002
    64        1:0        1:0         *0.87   0.13 
    65        1:0        1:0         *0.873  0.127
    66        1:0        1:0         *0.988  0.012
    67        1:0        1:0         *0.976  0.024
     1        2:1        1:0      +  *0.996  0.004
     2        2:1        2:1          0.24  *0.76 
     3        2:1        1:0      +  *0.821  0.179
     4        2:1        2:1          0     *1    
     5        2:1        2:1          0.014 *0.986
     6        2:1        2:1          0     *1    
     7        2:1        2:1          0     *1    
     8        2:1        2:1          0     *1    
     9        2:1        2:1          0     *1    
    10        2:1        1:0      +  *0.52   0.48 
    11        2:1        1:0      +  *0.719  0.281
    12        2:1        2:1          0.018 *0.982
    13        2:1        2:1          0     *1    
    14        2:1        2:1          0.006 *0.994
    15        2:1        2:1          0.049 *0.951
    16        2:1        2:1          0     *1    
    17        2:1        2:1          0.017 *0.983
    18        2:1        1:0      +  *0.9    0.1  
    19        2:1        1:0      +  *0.683  0.317
    20        2:1        2:1          0.203 *0.797
    21        2:1        2:1          0.03  *0.97 
    22        2:1        2:1          0.022 *0.978
    23        2:1        2:1          0.003 *0.997
    24        2:1        2:1          0.009 *0.991
    25        2:1        2:1          0     *1    
    26        2:1        2:1          0     *1    
    27        2:1        2:1          0.019 *0.981
    28        2:1        2:1          0.111 *0.889
    29        2:1        2:1          0.001 *0.999
    30        2:1        1:0      +  *0.973  0.027
    31        2:1        2:1          0     *1    
    32        2:1        2:1          0.148 *0.852
    33        2:1        2:1          0     *1    
    34        2:1        2:1          0.004 *0.996
    35        1:0        1:0         *1      0    
    36        1:0        2:1      +   0.179 *0.821
    37        1:0        2:1      +   0.477 *0.523
    38        1:0        1:0         *0.922  0.078
    39        1:0        1:0         *0.935  0.065
    40        1:0        1:0         *0.945  0.055
    41        1:0        1:0         *1      0    
    42        1:0        1:0         *1      0    
    43        1:0        1:0         *1      0    
    44        1:0        1:0         *1      0    
    45        1:0        1:0         *0.952  0.048
    46        1:0        1:0         *1      0    
    47        1:0        2:1      +   0.046 *0.954
    48        1:0        2:1      +   0.104 *0.896
    49        1:0        1:0         *0.966  0.034
    50        1:0        1:0         *0.54   0.46 
    51        1:0        1:0         *0.874  0.126
    52        1:0        1:0         *1      0    
    53        1:0        1:0         *0.935  0.065
    54        1:0        1:0         *1      0    
    55        1:0        2:1      +   0.045 *0.955
    56        1:0        2:1      +   0.368 *0.632
    57        1:0        1:0         *1      0    
    58        1:0        2:1      +   0     *1    
    59        1:0        1:0         *0.974  0.026
    60        1:0        1:0         *0.526  0.474
    61        1:0        2:1      +   0.083 *0.917
    62        1:0        1:0         *0.999  0.001
    63        1:0        1:0         *0.974  0.026
    64        1:0        1:0         *0.859  0.141
    65        1:0        2:1      +   0.13  *0.87 
    66        1:0        1:0         *0.919  0.081
    67        1:0        1:0         *1      0    
     1        2:1        2:1          0.078 *0.922
     2        2:1        2:1          0.001 *0.999
     3        2:1        2:1          0.003 *0.997
     4        2:1        2:1          0.025 *0.975
     5        2:1        2:1          0.007 *0.993
     6        2:1        2:1          0     *1    
     7        2:1        2:1          0     *1    
     8        2:1        1:0      +  *0.79   0.21 
     9        2:1        2:1          0.13  *0.87 
    10        2:1        2:1          0.068 *0.932
    11        2:1        2:1          0.024 *0.976
    12        2:1        1:0      +  *0.981  0.019
    13        2:1        2:1          0     *1    
    14        2:1        2:1          0.003 *0.997
    15        2:1        2:1          0     *1    
    16        2:1        2:1          0     *1    
    17        2:1        2:1          0.004 *0.996
    18        2:1        2:1          0.396 *0.604
    19        2:1        2:1          0.003 *0.997
    20        2:1        2:1          0     *1    
    21        2:1        2:1          0     *1    
    22        2:1        2:1          0.006 *0.994
    23        2:1        1:0      +  *0.985  0.015
    24        2:1        2:1          0.23  *0.77 
    25        2:1        2:1          0.027 *0.973
    26        2:1        2:1          0.019 *0.981
    27        2:1        1:0      +  *0.985  0.015
    28        2:1        2:1          0.369 *0.631
    29        2:1        2:1          0.398 *0.602
    30        2:1        1:0      +  *0.991  0.009
    31        2:1        2:1          0.01  *0.99 
    32        2:1        1:0      +  *0.947  0.053
    33        2:1        2:1          0.022 *0.978
    34        2:1        2:1          0     *1    
    35        1:0        2:1      +   0.151 *0.849
    36        1:0        1:0         *0.977  0.023
    37        1:0        1:0         *0.994  0.006
    38        1:0        1:0         *0.955  0.045
    39        1:0        1:0         *0.998  0.002
    40        1:0        2:1      +   0.081 *0.919
    41        1:0        2:1      +   0.235 *0.765
    42        1:0        1:0         *0.992  0.008
    43        1:0        1:0         *1      0    
